"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Laboratorieanalys-Aktivitet","Laboratorieanalys-Aktivitet","","","",0,*,"","","","null {[]} {[]}
","Laboratorieanalys : Aktivitet","Supporting logical model generated from gloo4.xmi (source class: Laboratorieanalys : Aktivitet).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Laboratorieanalys-Aktivitet.-id","Laboratorieanalys-Aktivitet._id","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/II {[]} {[]}
","Source attribute: id; renamed from reserved FSH name 'id'","Source attribute: id; renamed from reserved FSH name 'id'","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet._id",0,1,"",""
"Laboratorieanalys-Aktivitet.status","Laboratorieanalys-Aktivitet.status","","","",1,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/CV {[]} {[]}
","Source attribute: status","Source attribute: status","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet.status",1,1,"",""
"Laboratorieanalys-Aktivitet.kod","Laboratorieanalys-Aktivitet.kod","","","",1,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/CV-CWE {[]} {[]}
","Source attribute: kod","Source attribute: kod","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet.kod",1,1,"",""
"Laboratorieanalys-Aktivitet.tid","Laboratorieanalys-Aktivitet.tid","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/TS {[]} {[]}
","Source attribute: tid","Source attribute: tid","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet.tid",0,1,"",""
"Laboratorieanalys-Aktivitet.metod","Laboratorieanalys-Aktivitet.metod","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/CV-CWE {[]} {[]}
","Source attribute: metod","Source attribute: metod","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet.metod",0,1,"",""
"Laboratorieanalys-Aktivitet.kommentar","Laboratorieanalys-Aktivitet.kommentar","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/ST {[]} {[]}
","Source attribute: kommentar","Source attribute: kommentar","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet.kommentar",0,1,"",""
"Laboratorieanalys-Aktivitet.ackrediteradMetod","Laboratorieanalys-Aktivitet.ackrediteradMetod","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/BL {[]} {[]}
","Source attribute: ackrediterad metod","Source attribute: ackrediterad metod","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet.ackrediteradMetod",0,1,"",""
"Laboratorieanalys-Aktivitet.bestarAv","Laboratorieanalys-Aktivitet.bestarAv","","","",1,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Analysgrupp {[]} {[]}
","Source attribute: består av","Source attribute: består av","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet.bestarAv",1,1,"",""
"Laboratorieanalys-Aktivitet.harAnvant","Laboratorieanalys-Aktivitet.harAnvant","","","",0,*,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Analysutrustning-Resurs {[]} {[]}
","Source attribute: har använt","Source attribute: har använt","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet.harAnvant",0,*,"",""
"Laboratorieanalys-Aktivitet.harUtforande","Laboratorieanalys-Aktivitet.harUtforande","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Organisatorisk-enhet-Organisatorisk-enhet {[]} {[]}
","Source attribute: har utförande","Source attribute: har utförande","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet.harUtforande",0,1,"",""
"Laboratorieanalys-Aktivitet.harResultat","Laboratorieanalys-Aktivitet.harResultat","","","",0,*,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Laboratorieanalysresultat-Observation {[]} {[]}
","Source attribute: har resultat","Source attribute: har resultat","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet.harResultat",0,*,"",""
"Laboratorieanalys-Aktivitet.avser","Laboratorieanalys-Aktivitet.avser","","","",0,*,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Prov-Resurs {[]} {[]}
","Source attribute: avser","Source attribute: avser","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet.avser",0,*,"",""
"Laboratorieanalys-Aktivitet.foranlederFordjupad","Laboratorieanalys-Aktivitet.foranlederFordjupad","","","",1,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Laboratorieanalysresultat-Observation {[]} {[]}
","Source attribute: föranleder fördjupad","Source attribute: föranleder fördjupad","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet.foranlederFordjupad",1,1,"",""
