"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Laboratorieanalysresultat-Observation","Laboratorieanalysresultat-Observation","","","",0,*,"","","","null {[]} {[]}
","Laboratorieanalysresultat : Observation","Supporting logical model generated from gloo4.xmi (source class: Laboratorieanalysresultat : Observation).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Laboratorieanalysresultat-Observation.typ","Laboratorieanalysresultat-Observation.typ","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/CV {[]} {[]}
","Source attribute: typ","Source attribute: typ","","","","","","","","","",,,,,"",,,,"Laboratorieanalysresultat-Observation.typ",0,1,"",""
"Laboratorieanalysresultat-Observation.varde","Laboratorieanalysresultat-Observation.varde","","","",1,1,"","","","base64Binary {[]} {[]}
","Source attribute: värde","Source attribute: värde","","","","","","","","","",,,,,"",,,,"Laboratorieanalysresultat-Observation.varde",1,1,"",""
"Laboratorieanalysresultat-Observation.kommentar","Laboratorieanalysresultat-Observation.kommentar","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/ST {[]} {[]}
","Source attribute: kommentar","Source attribute: kommentar","","","","","","","","","",,,,,"",,,,"Laboratorieanalysresultat-Observation.kommentar",0,1,"",""
"Laboratorieanalysresultat-Observation.tolkning","Laboratorieanalysresultat-Observation.tolkning","","","",0,*,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/CV {[]} {[]}
","Source attribute: tolkning","Source attribute: tolkning","","","","","","","","","",,,,,"",,,,"Laboratorieanalysresultat-Observation.tolkning",0,*,"",""
"Laboratorieanalysresultat-Observation.negation","Laboratorieanalysresultat-Observation.negation","","","",1,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/BL {[]} {[]}
","Source attribute: negation","Source attribute: negation","","","","","","","","","",,,,,"",,,,"Laboratorieanalysresultat-Observation.negation",1,1,"",""
"Laboratorieanalysresultat-Observation.harResultat","Laboratorieanalysresultat-Observation.harResultat","","","",1,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Laboratorieanalys-Aktivitet {[]} {[]}
","Source attribute: har resultat","Source attribute: har resultat","","","","","","","","","",,,,,"",,,,"Laboratorieanalysresultat-Observation.harResultat",1,1,"",""
"Laboratorieanalysresultat-Observation.foranlederFordjupad","Laboratorieanalysresultat-Observation.foranlederFordjupad","","","",0,*,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Laboratorieanalys-Aktivitet {[]} {[]}
","Source attribute: föranleder fördjupad","Source attribute: föranleder fördjupad","","","","","","","","","",,,,,"",,,,"Laboratorieanalysresultat-Observation.foranlederFordjupad",0,*,"",""
"Laboratorieanalysresultat-Observation.jamforsMed","Laboratorieanalysresultat-Observation.jamforsMed","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Referens {[]} {[]}
","Source attribute: jämförs med","Source attribute: jämförs med","","","","","","","","","",,,,,"",,,,"Laboratorieanalysresultat-Observation.jamforsMed",0,1,"",""
"Laboratorieanalysresultat-Observation.harMottagares","Laboratorieanalysresultat-Observation.harMottagares","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Signering-Deltagande {[]} {[]}
","Source attribute: har mottagares","Source attribute: har mottagares","","","","","","","","","",,,,,"",,,,"Laboratorieanalysresultat-Observation.harMottagares",0,1,"",""
"Laboratorieanalysresultat-Observation.harUtforares","Laboratorieanalysresultat-Observation.harUtforares","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Signering-Deltagande {[]} {[]}
","Source attribute: har utförares","Source attribute: har utförares","","","","","","","","","",,,,,"",,,,"Laboratorieanalysresultat-Observation.harUtforares",0,1,"",""
