"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Analysgrupp-2","Analysgrupp-2","Analysgrupp-2","","","",0,*,"","","","null {[]} {[]}
","Analysgrupp","Supporting logical model generated from gloo4.xmi (source class: Analysgrupp).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Analysgrupp-2","Analysgrupp-2.grupperar","Analysgrupp-2.grupperar","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard {[]} {[]}
","Source attribute: grupperar","Source attribute: grupperar","","","","","","","","","",,,,,"",,,,"Analysgrupp-2.grupperar",0,1,"",""
"Analysgrupp-svarsgrupp","Analysgrupp-svarsgrupp","Analysgrupp-svarsgrupp","","","",0,*,"","","","null {[]} {[]}
","Analysgrupp (svarsgrupp)","Supporting logical model generated from gloo4.xmi (source class: Analysgrupp (svarsgrupp)).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Analysgrupp-svarsgrupp","Analysgrupp-svarsgrupp.grupperarAnalyserSomUtfortsPaSamma","Analysgrupp-svarsgrupp.grupperarAnalyserSomUtfortsPaSamma","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Prov-Resurs-inom-halso--och-sjukvard {[]} {[]}
","Source attribute: grupperar analyser som utförts på samma","Source attribute: grupperar analyser som utförts på samma","","","","","","","","","",,,,,"",,,,"Analysgrupp-svarsgrupp.grupperarAnalyserSomUtfortsPaSamma",0,1,"",""
"Analysgrupp","Analysgrupp","Analysgrupp","","","",0,*,"","","","null {[]} {[]}
","Analysgrupp","Supporting logical model generated from gloo4.xmi (source class: Analysgrupp).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Analysgrupp","Analysgrupp.namn","Analysgrupp.namn","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/ST {[]} {[]}
","Source attribute: namn","Source attribute: namn","","","","","","","","","",,,,,"",,,,"Analysgrupp.namn",0,1,"",""
"Analysgrupp","Analysgrupp.listkod","Analysgrupp.listkod","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/CV {[]} {[]}
","Source attribute: listkod","Source attribute: listkod","","","","","","","","","",,,,,"",,,,"Analysgrupp.listkod",0,1,"",""
"Analysgrupp","Analysgrupp.gruppkommentar","Analysgrupp.gruppkommentar","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/ST {[]} {[]}
","Source attribute: gruppkommentar","Source attribute: gruppkommentar","","","","","","","","","",,,,,"",,,,"Analysgrupp.gruppkommentar",0,1,"",""
"Analysgrupp","Analysgrupp.bestarAv","Analysgrupp.bestarAv","","","",1,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Laboratoriesvar-Dokument {[]} {[]}
","Source attribute: består av","Source attribute: består av","","","","","","","","","",,,,,"",,,,"Analysgrupp.bestarAv",1,1,"",""
"Analysgrupp","Analysgrupp.bestarAv2","Analysgrupp.bestarAv2","","","",1,*,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Laboratorieanalys-Aktivitet {[]} {[]}
","Source attribute: består av","Source attribute: består av","","","","","","","","","",,,,,"",,,,"Analysgrupp.bestarAv2",1,*,"",""
