Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-gloo4.json	60874	-	0	0	0	0	0	0	19	81	0	0	0	0	0	0	0	2	0	0	0	298	522	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-Analysgrupp-2.json	1496	3	0	3	1	0	0	1	0	863	0	0	0	0	0	0	0	0	0	0	0	35	481	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Analysgrupp-svarsgrupp.json	3654	0	0	2	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	41	159	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Analysgrupp.json	3031	1	0	5	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	50	169	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Analysutrustning-Resurs.json	2940	1	0	5	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	45	119	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.json	2765	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	42	97	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BL.json	784	1	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	23	84	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-CV-CWE.json	883	1	0	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	22	82	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CV.json	782	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	23	77	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Delsvar-Dokument-inom-halso--och-sjukvard.json	2763	1	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	36	90	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-FHIR-Diagnostic-Report-Status.json	1261	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	26	73	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Fordjupad-analys.json	2560	1	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	34	83	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Forekomst-av-antikropp-titer.json	1161	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	24	71	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-HSA-verksamhetskod.json	1073	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	22	73	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.json	5635	1	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	60	100	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-Halso--och-sjukvardspersonal.json	1991	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	31	79	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-II.json	790	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	22	87	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-INT.json	772	0	0	2	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	22	63	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-IVL-PQ.json	815	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	22	69	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Informationsmodell.json	1040	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	21	75	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-KV-befattning.json	1041	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21	84	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-KV-kon.json	893	0	0	2	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	22	69	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Kontaktinformation.json	2023	1	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	35	86	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Kopiemottagande-enhet.json	3117	0	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	30	89	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.json	4814	1	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	40	108	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Laboratorieanalys-Aktivitet.json	6768	2	0	8	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	57	112	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Laboratorieanalysresultat-Observation.json	6216	2	0	7	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	55	101	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Laboratorieanalysresultat-Observerat-halsotillstand.json	4614	1	0	6	1	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	38	102	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Laboratoriedisciplin.json	4273	1	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	26	76	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Laboratoriesvar-Dokument-inom-halso--och-sjukvard.json	3173	1	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	30	86	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Laboratoriesvar-Dokument.json	7118	2	1	7	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	64	113	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Malpopulation.json	1655	1	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	21	74	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Mikroorganism.json	2059	1	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	23	74	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-NPU.json	1058	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	16	64	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Organisatorisk-enhet-Organisation-inom-halso--och-sjukv.json	4193	1	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	38	79	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Organisatorisk-enhet-Organisatorisk-enhet.json	4665	1	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	40	82	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-Origin.json	1534	1	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	21	71	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PQ.json	886	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	15	67	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Patient-Patient.json	2368	1	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	25	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Patient.json	1687	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	21	93	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Person-Person.json	3428	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	34	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Preliminarsvar-Dokument-inom-halso--och-sjukvard.json	2136	1	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	21	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Presentationsformat.json	2462	0	0	2	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	22	68	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Prov-Resurs-inom-halso--och-sjukvard.json	4392	1	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	55	81	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-Prov-Resurs.json	4338	1	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	40	100	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Prov-id.json	1342	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	18	60	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Provbehallare-Resurs.json	2383	1	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	25	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Provgivare.json	1325	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	19	62	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Provmaterial.json	1503	1	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	19	70	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Provrelaterad-aktivitet-Aktivitet.json	3257	1	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	28	76	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Provtagningsmetod.json	1485	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	18	63	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Referens.json	3395	1	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	33	79	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Referenser.json	1659	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	20	63	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Referensintervall.json	2361	1	0	3	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	23	79	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Referensmodell.json	1940	1	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	21	67	0	0	0	1	0	0
