Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xmi.to.fsh.json	29745	-	0	0	0	0	0	0	21	159	0	0	0	0	0	0	0	1	0	0	0	221	429	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-Analysgrupp-2.json	1425	3	0	4	1	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	31	606	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Analysgrupp-svarsgrupp.json	1647	1	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	54	147	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Analysgrupp.json	2873	1	0	5	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	0	55	162	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-Analysutrustning-Resurs.json	2752	2	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	47	145	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Ansvarig-enhet-Organisation-inom-halso--och-sjukvard.json	2920	1	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	44	131	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BL.json	902	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	24	98	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-CV-CWE.json	941	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	24	97	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CV.json	902	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	23	98	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Delsvar-Dokument-inom-halso--och-sjukvard.json	2231	1	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	39	104	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-FHIR-Diagnostic-Report-Status.json	1173	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	25	87	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Fordjupad-analys.json	1457	1	0	3	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	28	98	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Forekomst-av-antikropp-titer.json	1171	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	24	96	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-HSA-verksamhetskod.json	1061	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	24	119	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Halso--och-sjukvardspersonal-Halso--och-sjukvardsperson.json	4867	1	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	54	140	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Halso--och-sjukvardspersonal.json	2011	1	0	7	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	32	115	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-II.json	902	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	23	89	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-INT.json	912	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	22	86	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-IVL-PQ.json	945	1	0	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	24	84	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Informationsmodell.json	1050	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	22	88	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-KV-befattning.json	1011	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	23	81	0	0	0	1	0	0
